documentId,emotionId,emotion_words
1,5,mortar assault leav at least dead
2,4,goal delight for sheva
3,4,nigeria hostag fear dead is freed
4,3,bomber kill shopper
5,6,veget not fruit slow brain declin
6,4,pm havana deal a good experi
7,4,kate is marri doherti
8,6,nasa revisit life on mar question
9,4,happi birthdai ipod
10,4,alonso would be happi to retir with three titl
11,4,madonna s new tot happi at home in london
12,5,nicol kidman ask dad to help stop husband s drink
13,4,unit find good connect in win
14,4,runwai make good without make nice
15,5,we were arrog and stupid over iraq sai us diplomat
16,5,bad reason to be good
17,6,madonna s new babi s daddi didn t realiz adopt wa for good
18,5,women in their s ar perfectli good mother
19,4,we re a pretti kind bulli
20,4,moder drink reduc men s heart attack risk
21,4,tom cruis and kati holm set wed date
22,3,kidnap ap photograph freed in gaza
23,2,bush insist troop stai in iraq predict midterm victori
24,6,hurrican paul weaken to tropic storm
25,1,uk announc immigr restrict
26,4,three found aliv from miss russian ship report
27,5,poison pill to swallow hawk hurt after loss to vike
28,4,injur marathon winner leav hospit
29,6,hacker unlock appl music download protect
30,3,spanish journalist seiz in gaza
31,6,sudan urg un to replac it special envoi
32,4,resolut approv for intern game
33,4,pair of satellit will document sun in d
34,6,martian life could have evad detect by vike lander
35,4,the sweet tune of an anniversari
36,6,did vike probe miss life on mar
37,1,diplomat acknowledg us arrog in iraq
38,5,more human remain found at ground zero
39,3,how to prevent iraq from get even wors
40,3,tension as hungari mark upris
41,3,stanford studi warn of internet addict
42,5,no evid of ic reserv on the moon
43,5,parachutist di at bridg jump festiv
44,5,us troop kill in octob in iraq
45,5,chef not count calori studi find
46,5,death link to flu vaccin
47,4,perfect live lose their focu
48,3,bread heavi diet link to kidnei cancer
49,4,beat poverti in a small wai
50,1,israel insist on lebanon overflight
51,2,britain to restrict immigr from new eu member
52,6,confus reign in the expand digit world
53,4,game on london exhibit celebr the histori of video game
54,4,make peac from victori over poverti
55,5,marin kill in fight west of baghdad
56,4,scientist creat first cloak devic
57,4,amateur rocket scientist reach for space
58,6,confus reign in the expand digit world
59,5,death link to flu vaccin
60,5,israel admit us phosphor shell in lebanon
61,5,th person di after receiv flu shot
62,3,polic and shopper target in grow iraq violenc
63,6,scientist discov miracl in the depth
64,5,doctor see patient who think thei re internet addict
65,4,china launch two satellit into orbit
66,6,veget mai boost brain power in older adult
67,3,hurrican paul near categori statu
68,5,russian ship sink member crew miss
69,6,iran s presid urg higher birth rate
70,4,appl set for massiv market gain
71,5,tumor type mai explain surviv rate for cancer
72,5,routin mission turn into hunt for miss comrad
73,5,bad weather slow s korean search for russian ship
74,4,tailor and housew busi as muslim celebr eid
75,4,activ peac bring the promis of develop
76,2,abba condemn isra massacr in northern gaza strip
77,5,bangladesh ferri sink dead
78,4,buc find a new kick in life
79,6,googl to unveil elect mashup
80,2,polic warn of child exploit onlin
81,3,breast cancer awar is import
82,5,hungari polic tackl violent protestor
83,4,three driver had reason to be proud in brazil
84,4,celebr protest malibu ga facil
85,6,presto he s batman then magic man
86,3,heavi us of mobil phone can make men infertil scientist sai
87,5,russian ship sink in pacif
88,4,china successfulli launch two satellit
89,4,prestig ha magic touch
90,5,li damn li and divorc
91,4,man inspir giant to victori in dalla
92,5,riot warn for franc suburb
93,4,full recoveri expect for marathon winner
94,5,soni apologis for global batteri recal
95,3,question on credit card safeti
96,1,budapest calm after night of violent protest
97,4,veget mai boost brain power in older adult
98,1,report criticis us press freedom
99,3,french suburb riot could resum
100,2,photograph kidnap condemn
101,2,photograph kidnap in gaza
102,4,basebal roger enjoi hi muddi streak
103,4,cultur revolutionari the ipod is five
104,6,life on mar mayb we miss it
105,4,three found aliv from miss russian ship report
106,4,moder drink reduc men s heart attack risk
107,4,the sweet tune of an anniversari
108,1,inconveni truth
109,6,date difficult for harri potter
110,5,student lose their rite of passag
111,1,putin vow to tackl illeg immigr
112,3,ottawa must redefin terror
113,3,britain to limit worker from romania bulgaria
114,5,top gener optimist on iraq
115,4,kim osorio win sexual harrass suit against the sourc
116,4,silli and substanti
117,4,offici laugh for borat
118,2,speaker hastert testifi befor panel probe sex scandal
119,4,tom cruis and kati holm set wed date
120,6,martian life could have evad detect by vike lander
121,3,ukrain ga deal mar by fear
122,4,marathon victori come at heavi cost
123,1,colleg tuition continu climb
124,2,german paper show soldier desecr skull
125,3,war is close ethiopia tell somali rebel
126,4,advantag cardin with suppan in game
127,4,nasa spacecraft to measur sun
128,1,soni hate european will prevent the import of ps
129,4,flu vaccin appear safe for young children
130,4,googl to launch yet anoth search tool
